Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,SubCategory,Product Name,Sales,Quantity,Discount,Profit,Outlier,Q1,     Q3,IQR,Upper Limit,Lower Limit
1,CA2016152156,11-08-2016,11-11-2016,Second Class,CG12520,Claire Gute,Consumer,United States,Henderson,Kentucky,42420,South,FURBO10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,261.96,2,0,41.9136,FALSE,5.369,43.15245,37.78345,99.827625,-51.306175
2,CA2016152156,11-08-2016,11-11-2016,Second Class,CG12520,Claire Gute,Consumer,United States,Henderson,Kentucky,42420,South,FURCH10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94,3,0,219.582,TRUE,,,,,
3,CA2016138688,06-12-2016,16-06-2016,Second Class,DV13045,Darrin Van Huff,Corporate,United States,Los Angeles,California,90036,West,OFFLA10000240,Office Supplies,Labels,SelfAdhesive Address Labels for Typewriters by Universal,14.62,2,0,6.8714,FALSE,,,,,
4,US2015108966,10-11-2015,18-10-2015,Standard Class,SO20335,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,33311,South,FURTA10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,957.5775,5,0.45,383.031,TRUE,,,,,
5,US2015108966,10-11-2015,18-10-2015,Standard Class,SO20335,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,33311,South,OFFST10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,22.368,2,0.2,2.5164,FALSE,,,,,
6,CA2014115812,06-09-2014,14-06-2014,Standard Class,BH11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,FURFU10001487,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,7,0,14.1694,FALSE,,,,,
7,CA2014115812,06-09-2014,14-06-2014,Standard Class,BH11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,OFFAR10002833,Office Supplies,Art,Newell 322,7.28,4,0,1.9656,FALSE,,,,,
8,CA2014115812,06-09-2014,14-06-2014,Standard Class,BH11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,TECPH10002275,Technology,Phones,Mitel 5320 IP Phone VoIP phone,907.152,6,0.2,90.7152,FALSE,,,,,
9,CA2014115812,06-09-2014,14-06-2014,Standard Class,BH11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,OFFBI10003910,Office Supplies,Binders,DXL AngleView Binders with Locking Rings by Samsill,18.504,3,0.2,5.7825,FALSE,,,,,
10,CA2014115812,06-09-2014,14-06-2014,Standard Class,BH11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,OFFAP10002892,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,114.9,5,0,34.47,FALSE,,,,,
11,CA2014115812,06-09-2014,14-06-2014,Standard Class,BH11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,FURTA10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables,1706.184,9,0.2,85.3092,FALSE,,,,,
12,CA2014115812,06-09-2014,14-06-2014,Standard Class,BH11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,TECPH10002033,Technology,Phones,Konftel 250 Conference phone  Charcoal black,911.424,4,0.2,68.3568,FALSE,,,,,
13,CA2017114412,15-04-2017,20-04-2017,Standard Class,AA10480,Andrew Allen,Consumer,United States,Concord,North Carolina,28027,South,OFFPA10002365,Office Supplies,Paper,Xerox 1967,15.552,3,0.2,5.4432,FALSE,,,,,
14,CA2016161389,12-05-2016,12-10-2016,Standard Class,IM15070,Irene Maddox,Consumer,United States,Seattle,Washington,98103,West,OFFBI10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,407.976,3,0.2,132.5922,TRUE,,,,,
15,US2015118983,22-11-2015,26-11-2015,Standard Class,HP14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106,Central,OFFAP10002311,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81,5,0.8,123.858,TRUE,,,,,
16,US2015118983,22-11-2015,26-11-2015,Standard Class,HP14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106,Central,OFFBI10000756,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,2.544,3,0.8,3.816,FALSE,,,,,
17,CA2014105893,11-11-2014,18-11-2014,Standard Class,PK19075,Pete Kriz,Consumer,United States,Madison,Wisconsin,53711,Central,OFFST10004186,Office Supplies,Storage,"SturDStor Shelving, Vertical 5Shelf: 72""H x 36""W x 18 1/2""D",665.88,6,0,13.3176,FALSE,,,,,
18,CA2014167164,13-05-2014,15-05-2014,Second Class,AG10270,Alejandro Grove,Consumer,United States,West Jordan,Utah,84084,West,OFFST10000107,Office Supplies,Storage,Fellowes Super Stor/Drawer,55.5,2,0,9.99,FALSE,,,,,
19,CA2014143336,27-08-2014,09-01-2014,Second Class,ZD21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,OFFAR10003056,Office Supplies,Art,Newell 341,8.56,2,0,2.4824,FALSE,,,,,
20,CA2014143336,27-08-2014,09-01-2014,Second Class,ZD21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,TECPH10001949,Technology,Phones,Cisco SPA 501G IP Phone,213.48,3,0.2,16.011,FALSE,,,,,
21,CA2014143336,27-08-2014,09-01-2014,Second Class,ZD21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,OFFBI10002215,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",22.72,4,0.2,7.384,FALSE,,,,,
